id,face_detected_ratio,gaze_ratio_mean,gaze_deviation_mean,gaze_stability_std,smile_score_mean,smile_score_std,frown_score_mean,frown_score_std,eye_openness_mean,eye_openness_std,jaw_open_mean,jaw_open_std,brow_raise_mean,brow_raise_std,mouth_frown_mean,mouth_frown_std,emotion_happy_mean,emotion_sad_mean,emotion_angry_mean,emotion_surprise_mean,emotion_fear_mean,emotion_disgust_mean,emotion_neutral_mean
0021,1.0,0.5555757692795017,0.05647148301818169,0.016374801225338697,0.001692565219543342,0.001382014766064266,0.10096733563446574,0.0416747702551787,0.8400975422667606,0.11540334614179058,0.0022611474460323476,0.004472226179463162,0.04154589732310602,0.022201747753245682,9.127148707323483e-05,0.0001258283743284762,0.0016908736365065463,0.0025759723424601234,0.05219465462532038,0.019510051661428794,0.0041418056468059405,0.025811558924032658,0.8940750831634455
0022,1.0,0.5145641998314798,0.019536996902935696,0.017750768895489072,0.012898663878197249,0.029954096663608997,0.00014371155658477863,6.289840946753852e-05,0.9604743574983791,0.09051003860290134,0.05142541275211355,0.07552374222925236,0.7225832173260309,0.050687659377063175,0.01161686416901742,0.03117985530269907,0.012109871493206588,0.21127272871390373,0.0026609349245819555,0.31741909653611217,0.15825138727535326,0.05563533886836962,0.24265064218847265
0023,1.0,0.5257843157829217,0.028372746001697292,0.01641838222963642,0.32440595218742435,0.20275712777527458,0.0011129998906240376,0.0009909290032150888,0.7695499763993378,0.12256066506206284,0.015666561606684063,0.030996711760407258,0.4275844737210057,0.06108713534520017,0.0007149030007605523,0.0010100365571286253,0.31294989738413254,0.12680551882947183,0.0021671137113312036,0.17466754964498374,0.10732639511209986,0.013895205231980883,0.2621883200859999
0024,1.0,0.5578412099784638,0.05784120997846376,0.004098900853388359,0.007828641993304094,0.0038381023853177156,0.13769546958307424,0.08839387493937681,0.9834106946364045,0.0036749778613178316,0.04440471778313319,0.01965429578102522,0.01857512048445642,0.01595509193128321,0.00034568027816324803,0.00021698584425714604,0.007701900275632158,0.08475222188523428,0.07554421691820987,0.028646665019914506,0.07402966705752381,0.02924531983065132,0.700080009012834
0025,1.0,0.5403028628034412,0.04030286280344116,0.01701927215562301,0.0002953240796941259,0.0004522269992037854,0.035931019387135166,0.020761464602638068,0.9641643822542392,0.06196530338463026,0.06183371205891793,0.08727859762875674,0.06570832823247959,0.08949921575567255,0.0001802817328571867,0.0002999214485093024,0.00029162889436461773,0.09248626770046449,0.022628967839792524,0.051411829329784574,0.07802274792629381,0.007197855112690672,0.7479607031966093
0026,1.0,0.5339524908607944,0.03526120934637395,0.014715578863104569,0.024810183925614706,0.11582872322814454,0.00037067437049206664,0.0003563495894795017,0.9197197162222622,0.10060241596494147,0.193105534442219,0.17861235571901138,0.5431288418880964,0.10447627252928095,0.000473039776897932,0.003142473847397365,0.018698255323510722,0.21367061296952683,0.001689612749234065,0.28151141605913166,0.1574102490088039,0.009075426028754923,0.3179444278610378
0027,1.0,0.4980134400624178,0.01722481419998975,0.02056282644769009,0.0011964997254587863,0.0023798166970312186,0.0015161094410524874,0.002778111649588264,0.6101309915327213,0.13456647587052692,0.01812451923562383,0.0593495074062787,0.43670190931721165,0.09386037092472553,0.0003104384310197681,0.0005330019661296914,0.0011890984175261048,0.09896934430715336,0.007724921479307934,0.18073628395942665,0.07496802587657922,0.002025670371832291,0.6343866555881745
0028,1.0,0.5277681595789672,0.02776815957896715,0.01153692537911686,0.20899813584886337,0.2035943002379318,0.002990728068349805,0.0023405924897166542,0.8058398949603239,0.0831519720940632,0.03877539789148917,0.041166222381919575,0.1883597569540143,0.07026556424873365,3.6497258972663836e-05,9.028880352957965e-05,0.20679618905885658,0.1302893925132049,0.009382474880342962,0.08837393812937079,0.08616523740335348,0.05009895050154428,0.428893817513327
0029,1.0,0.5767855220331005,0.0767855220331005,0.0072544830765888454,0.02487155704572312,0.032757653929611386,0.07190367439761758,0.03801729994001438,0.9352930982907613,0.02885701663207349,0.01759711338672787,0.010017390319601683,0.08396028618638714,0.025368772077032965,0.0013903322227027577,0.001499447884501937,0.02472495358015604,0.04317969735081229,0.03781765105641644,0.043962589967607824,0.015321341709204718,0.026652010746983965,0.8083417555888187
0030,1.0,0.5619611084621109,0.06908456733871751,0.04342367536731812,0.020419949789973513,0.039843119041391956,0.03232142004560308,0.02934155415193305,0.7103989231952671,0.23247210837245058,0.12396241346437295,0.11272470852508737,0.1536988878969924,0.0901969750098583,6.921231444251181e-05,8.708481222825309e-05,0.018960840573586286,0.019022143482970544,0.02280610483559313,0.09982524682647205,0.013761120784785537,0.007631272681753002,0.8179932708148394
